Price,Close,High,Low,Open,Volume
Ticker,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS
Date,,,,,
2021-12-31,1755.012451171875,1764.86708718588,1740.0445488453574,1757.1042419360847,4619420
2022-01-03,1764.9599609375,1779.463133766997,1755.0123795484367,1755.0123795484367,3329616
2022-01-04,1765.6107177734375,1772.5833530118707,1745.9478637036755,1764.959870392376,3921999
2022-01-05,1714.9427490234375,1769.0968778871747,1710.619692863117,1766.4007698043056,6995719
2022-01-06,1689.9808349609375,1699.4635731802034,1673.4324024750363,1699.4635731802034,6449205
2022-01-07,1686.7271728515625,1706.9012875548033,1679.754536872989,1687.7962195787463,4834389
2022-01-10,1720.614013671875,1738.4174989448695,1685.5184151220367,1687.3777845816307,7857560
2022-01-11,1725.1229248046875,1738.5104073231662,1720.056188531047,1724.565136676189,5142287
2022-01-12,1745.4365234375,1756.174427294544,1729.2135705494188,1737.487787213407,5362535
2022-01-13,1763.426025390625,1778.022030125521,1735.1170575247193,1771.0493947132643,14277630
2022-01-14,1793.6873779296875,1797.0807502071307,1748.737139751481,1749.6668245679357,7688506
2022-01-17,1803.12353515625,1816.5110179754408,1794.7563725801188,1802.240380056865,5262464
2022-01-18,1785.6920166015625,1808.23687220619,1777.045902871828,1786.9470683399022,3690315
2022-01-19,1735.76806640625,1781.2760923692474,1731.8633221199723,1781.2760923692474,5747770
2022-01-20,1695.4659423828125,1718.0573259927373,1687.8425732358305,1714.3385871918874,5533463
2022-01-21,1660.137939453125,1680.8699538584187,1651.120043170659,1668.7840526415164,8252758
2022-01-24,1614.6763916015625,1644.2868258518374,1606.4951210532906,1640.893454085103,7116712
2022-01-25,1601.056640625,1617.651490981654,1580.9289427668405,1605.1936924341835,9137653
2022-01-27,1560.5687255859375,1589.4818972598255,1547.9250362753037,1582.3233704147547,11231734
2022-01-28,1567.634521484375,1606.0770801546191,1561.4056784921834,1562.800205742995,10998502
2022-01-31,1614.11865234375,1626.4835051800083,1594.7347475858573,1597.1984349238378,8788872
2022-02-01,1647.4478759765625,1654.8388242067688,1612.7240604206768,1641.9161837248514,5119935
2022-02-02,1661.4395751953125,1666.7388463023904,1647.4013583268163,1663.2059988976719,4253717
2022-02-03,1616.303466796875,1653.9091695230836,1612.0733557914712,1653.9091695230836,3832922
2022-02-04,1618.6739501953125,1630.6203754628236,1589.900255161016,1610.2138424272832,4700077
2022-02-07,1594.4093017578125,1610.213942066782,1576.1875038636756,1601.1029863762612,4310209
2022-02-08,1596.547607421875,1603.706134336907,1576.745277585736,1589.7608636035427,6053401
2022-02-09,1615.1412353515625,1620.440392617687,1603.7060684254216,1613.0029151989022,3867244
2022-02-10,1645.1700439453125,1649.1677336023724,1625.7861403941058,1632.2009876054074,4334630
2022-02-11,1600.312744140625,1623.182965184619,1592.5498995518071,1617.6513865850231,7551371
2022-02-14,1563.9156494140625,1597.709781046712,1560.2434400266984,1571.167235897584,7459637
2022-02-15,1616.0244140625,1623.9267339356663,1571.5854404398165,1579.534289942291,4669915
2022-02-16,1611.4224853515625,1632.01491002102,1605.4259511325433,1616.0243790774323,5350642
2022-02-17,1603.520263671875,1626.0185886866132,1599.336682397381,1621.3701650482867,3937950
2022-02-18,1586.92529296875,1601.381935810158,1583.7179260682753,1589.7608767694458,5602215
2022-02-21,1609.00537109375,1615.141381308264,1572.5617738431392,1581.3937790760742,5120890
2022-02-22,1612.398681640625,1627.8779550239851,1572.1434011019635,1580.3710882286616,8878515
2022-02-23,1620.301025390625,1634.618193074985,1611.5155499979237,1626.9482939748177,5478811
2022-02-24,1560.150390625,1594.3627192433657,1553.0382800244847,1571.260077314222,13592379
2022-02-25,1575.4437255859375,1606.6346937677324,1559.0812969852034,1594.409316833407,9737281
2022-02-28,1594.967041015625,1606.5416835675621,1547.9250181173663,1563.9155494863408,15076542
2022-03-02,1583.067138671875,1593.8514583999204,1572.0968139133197,1589.7608230584133,6771489
2022-03-03,1599.847900390625,1611.9803311741755,1585.623792509703,1599.2435826355654,7344147
2022-03-04,1602.125732421875,1613.9326830378159,1562.800023148945,1576.0480304837888,9074499
2022-03-07,1617.5118408203125,1627.877847526786,1576.7451909796853,1577.6748756441782,9742588
2022-03-08,1653.165283203125,1673.4324549972973,1597.616622544187,1597.616622544187,10984500
2022-03-09,1685.8438720703125,1702.8106192947923,1665.0654399475784,1665.0654399475784,10193515
2022-03-10,1697.511474609375,1715.036010140012,1682.9153553670997,1715.036010140012,6547182
2022-03-11,1693.8856201171875,1702.6246794935491,1683.6590878332747,1686.4481420925235,4758657
2022-03-14,1757.7548828125,1761.7525725671774,1702.7641215348226,1702.7641215348226,10289724
2022-03-15,1709.9691162109375,1755.5700827099633,1701.3230030955274,1755.5700827099633,7140443
2022-03-16,1756.54638671875,1760.776384232775,1718.987100177575,1733.862056155315,5233979
2022-03-17,1724.1932373046875,1788.0626448566275,1704.1585999330932,1788.0626448566275,17731459
2022-03-21,1722.7523193359375,1754.222124475317,1711.6425188169326,1730.1432674803852,8362085
2022-03-22,1754.6868896484375,1757.1040471217013,1709.6901283898458,1719.9166598810302,5709382
2022-03-23,1740.74169921875,1766.4009748935064,1726.4245317774953,1763.6119207226218,6192824
2022-03-24,1754.0362548828125,1761.380787450441,1725.6344525273641,1725.6344525273641,3784303
2022-03-25,1744.599853515625,1760.8228059902042,1727.3541570907073,1758.9634366068988,3438588
2022-03-28,1742.13623046875,1748.6440235497041,1722.3804300444256,1734.7916984371495,4008555
2022-03-29,1753.38525390625,1756.5462044208516,1729.7248249044474,1742.1360923129264,3917785
2022-03-30,1770.0732421875,1784.0650431315757,1761.7526090330048,1775.6978803446116,7795839
2022-03-31,1772.7691650390625,1778.4867483754954,1761.0086314337113,1766.4008478376586,5399145
2022-04-01,1769.701416015625,1775.976787953158,1746.2268765455945,1754.1756129076593,6171518
2022-04-04,1750.5496826171875,1759.8930588314156,1741.299365658342,1756.871583690791,7364074
2022-04-05,1730.236083984375,1756.732096579308,1726.563875001941,1751.3399936872138,5472024
2022-04-06,1700.25390625,1726.8893966261642,1694.0250639153437,1724.565184786829,5407453
2022-04-07,1683.6590576171875,1699.6031735437984,1680.4516906713761,1693.0024346127523,5797544
2022-04-08,1687.0059814453125,1708.7606280250595,1680.8700845861306,1694.815356305595,5131446
2022-04-11,1642.3345947265625,1686.448089489619,1638.6158558302238,1686.448089489619,8248407
2022-04-12,1619.92919921875,1633.9210005499451,1606.2628783500243,1633.9210005499451,6456184
2022-04-13,1625.600341796875,1633.9209750517343,1610.2140135360478,1631.5502335054018,6257693
2022-04-18,1507.390869140625,1533.979830166123,1478.1987454328093,1492.6088589889155,30523965
2022-04-19,1452.1676025390625,1521.5685929250112,1441.011385362066,1521.5685929250112,17044923
2022-04-20,1476.0604248046875,1484.0558044042627,1453.0972569891926,1464.2534739334474,10678747
2022-04-21,1504.9735107421875,1512.782770773602,1477.5012847809514,1482.8469713548009,7766514
2022-04-22,1473.9686279296875,1497.4431676511813,1471.1331575604233,1491.539692240385,8134245
2022-04-25,1451.330810546875,1462.2081899893212,1444.8230174313092,1462.2081899893212,7000570
2022-04-26,1469.83154296875,1480.0580748932637,1456.3976441535824,1466.2986956364289,5345435
2022-04-27,1443.6146240234375,1462.1617906608983,1441.3368281378566,1462.1617906608983,8819356
2022-04-28,1471.3189697265625,1489.1689838913303,1447.9373770434233,1459.6049653137811,9245177
2022-04-29,1457.327392578125,1484.985514219352,1451.05202044104,1478.1987700689258,9831395
2022-05-02,1432.644287109375,1443.5680835879832,1423.3474390424744,1441.8481893929895,7072627
2022-05-04,1427.577392578125,1459.6049852351807,1422.5570724792988,1438.4546582198302,6220959
2022-05-05,1473.6898193359375,1477.6409795641266,1447.9374834035953,1450.3547545680146,6144870
